Handle,Platform,Niche,Followers,Est_Eng_Rate,Norwegian,Contact_Method,Status,Offer_Type,Fee_NOK,Unique_Code,Date_Contacted,Date_Followed_Up,Posted,Installs,CPI_NOK,Notes
@example_kostholdstips,Instagram,Kosthold,12000,4.2%,Yes,DM,Not contacted,Micro paid,1200,SKAREN-EX1,,,,,,Example row - delete me
,Instagram,,,,,,,,,,,,,,,
,Instagram,,,,,,,,,,,,,,,
,Instagram,,,,,,,,,,,,,,,
,Instagram,,,,,,,,,,,,,,,
,Instagram,,,,,,,,,,,,,,,
,TikTok,,,,,,,,,,,,,,,
,TikTok,,,,,,,,,,,,,,,
,TikTok,,,,,,,,,,,,,,,
,TikTok,,,,,,,,,,,,,,,
